Week,Total_Sales,Trend,Sine_52_Harmonic,Cosine_52_Harmonic,Collection_Drop_Indicator,Lag_1_Sales,Lag_2_Sales
45,98497.08,45,-0.7485,0.6631,0.0,94983.12,101411.7
46,103948.96,46,-0.6631,0.7485,0.0,98497.08,94983.12
47,95348.7,47,-0.5681,0.823,0.0,103948.96,98497.08
48,83511.82,48,-0.4647,0.8855,0.0,95348.7,103948.96
49,83078.64,49,-0.3546,0.935,0.0,83511.82,95348.7
50,108082.72,50,-0.2393,0.9709,0.0,83078.64,83511.82
51,84104.63,51,-0.1205,0.9927,0.0,108082.72,83078.64
52,89101.54,52,0.0,1.0,0.0,84104.63,108082.72
53,96114.58,53,0.1205,0.9927,0.0,89101.54,84104.63
54,88314.66,54,0.2393,0.9709,0.0,96114.58,89101.54
55,94883.42,55,0.3546,0.935,0.0,88314.66,96114.58
56,88258.87,56,0.4647,0.8855,0.0,94883.42,88314.66
57,91324.45,57,0.5681,0.823,0.0,88258.87,94883.42
58,96377.6,58,0.6631,0.7485,0.0,91324.45,88258.87
59,90100.55,59,0.7485,0.6631,0.0,96377.6,91324.45
60,89334.82,60,0.823,0.5681,0.0,90100.55,96377.6
61,91662.26,61,0.8855,0.4647,0.0,89334.82,90100.55
62,115670.71,62,0.935,0.3546,1.0,91662.26,89334.82
63,98007.48,63,0.9709,0.2393,0.0,115670.71,91662.26
64,119729.11,64,0.9927,0.1205,0.0,98007.48,115670.71
65,102577.72,65,1.0,0.0,0.0,119729.11,98007.48
66,98626.22,66,0.9927,-0.1205,0.0,102577.72,119729.11
67,103221.97,67,0.9709,-0.2393,0.0,98626.22,102577.72
68,117688.59,68,0.935,-0.3546,0.0,103221.97,98626.22
69,112074.74,69,0.8855,-0.4647,0.0,117688.59,103221.97
70,108406.98,70,0.823,-0.5681,0.0,112074.74,117688.59
71,115046.88,71,0.7485,-0.6631,0.0,108406.98,112074.74
72,114206.5,72,0.6631,-0.7485,0.0,115046.88,108406.98
73,112660.42,73,0.5681,-0.823,0.0,114206.5,115046.88
74,120510.54,74,0.4647,-0.8855,0.0,112660.42,114206.5
75,112819.52,75,0.3546,-0.935,0.0,120510.54,112660.42
76,105635.67,76,0.2393,-0.9709,0.0,112819.52,120510.54
77,109009.2,77,0.1205,-0.9927,0.0,105635.67,112819.52
78,108322.17,78,0.0,-1.0,0.0,109009.2,105635.67
79,113552.47,79,-0.1205,-0.9927,0.0,108322.17,109009.2
80,117194.67,80,-0.2393,-0.9709,0.0,113552.47,108322.17
81,121274.02,81,-0.3546,-0.935,0.0,117194.67,113552.47
82,106568.32,82,-0.4647,-0.8855,0.0,121274.02,117194.67
83,107948.18,83,-0.5681,-0.823,0.0,106568.32,121274.02
84,115377.94,84,-0.6631,-0.7485,0.0,107948.18,106568.32
85,110688.15,85,-0.7485,-0.6631,0.0,115377.94,107948.18
86,106978.77,86,-0.823,-0.5681,0.0,110688.15,115377.94
87,110603.42,87,-0.8855,-0.4647,0.0,106978.77,110688.15
88,124745.81,88,-0.935,-0.3546,1.0,110603.42,106978.77
89,103626.34,89,-0.9709,-0.2393,0.0,124745.81,110603.42
90,116880.17,90,-0.9927,-0.1205,0.0,103626.34,124745.81
91,118888.31,91,-1.0,-0.0,0.0,116880.17,103626.34
92,105674.3,92,-0.9927,0.1205,0.0,118888.31,116880.17
93,94638.43,93,-0.9709,0.2393,0.0,105674.3,118888.31
94,99612.06,94,-0.935,0.3546,0.0,94638.43,105674.3
95,98152.39,95,-0.8855,0.4647,0.0,99612.06,94638.43
96,104016.75,96,-0.823,0.5681,0.0,98152.39,99612.06
97,103711.48,97,-0.7485,0.6631,0.0,104016.75,98152.39
98,85965.53,98,-0.6631,0.7485,0.0,103711.48,104016.75
99,85242.58,99,-0.5681,0.823,0.0,85965.53,103711.48
100,97197.87,100,-0.4647,0.8855,0.0,85242.58,85965.53
101,108279.1,101,-0.3546,0.935,0.0,97197.87,85242.58
102,89643.0,102,-0.2393,0.9709,0.0,108279.1,97197.87
103,91291.37,103,-0.1205,0.9927,0.0,89643.0,108279.1
104,94472.78,104,0.0,1.0,0.0,91291.37,89643.0
105,96164.43,105,0.1205,0.9927,0.0,94472.78,91291.37
106,91482.27,106,0.2393,0.9709,0.0,96164.43,94472.78
107,89701.84,107,0.3546,0.935,0.0,91482.27,96164.43
108,88349.62,108,0.4647,0.8855,0.0,89701.84,91482.27
109,84399.1,109,0.5681,0.823,0.0,88349.62,89701.84
110,95092.75,110,0.6631,0.7485,0.0,84399.1,88349.62
111,101407.9,111,0.7485,0.6631,0.0,95092.75,84399.1
112,108142.96,112,0.823,0.5681,0.0,101407.9,95092.75
113,94272.16,113,0.8855,0.4647,0.0,108142.96,101407.9
114,152585.0,114,0.935,0.3546,1.0,94272.16,108142.96
115,103494.79,115,0.9709,0.2393,0.0,152585.0,94272.16
116,110997.59,116,0.9927,0.1205,0.0,103494.79,152585.0
117,112611.98,117,1.0,0.0,0.0,110997.59,103494.79
118,112304.37,118,0.9927,-0.1205,0.0,112611.98,110997.59
119,106649.48,119,0.9709,-0.2393,0.0,112304.37,112611.98
120,105867.49,120,0.935,-0.3546,0.0,106649.48,112304.37
121,113471.97,121,0.8855,-0.4647,0.0,105867.49,106649.48
122,106658.76,122,0.823,-0.5681,0.0,113471.97,105867.49
123,108984.95,123,0.7485,-0.6631,0.0,106658.76,113471.97
124,110379.63,124,0.6631,-0.7485,0.0,108984.95,106658.76
125,115560.96,125,0.5681,-0.823,0.0,110379.63,108984.95
126,121948.83,126,0.4647,-0.8855,0.0,115560.96,110379.63
127,121965.36,127,0.3546,-0.935,0.0,121948.83,115560.96
128,123263.4,128,0.2393,-0.9709,0.0,121965.36,121948.83
129,119246.85,129,0.1205,-0.9927,0.0,123263.4,121965.36
130,119580.04,130,0.0,-1.0,0.0,119246.85,123263.4
131,120281.6,131,-0.1205,-0.9927,0.0,119580.04,119246.85
132,127276.97,132,-0.2393,-0.9709,0.0,120281.6,119580.04
133,128196.48,133,-0.3546,-0.935,0.0,127276.97,120281.6
134,134016.42,134,-0.4647,-0.8855,0.0,128196.48,127276.97
135,120511.38,135,-0.5681,-0.823,0.0,134016.42,128196.48
136,118710.21,136,-0.6631,-0.7485,0.0,120511.38,134016.42
137,111965.8,137,-0.7485,-0.6631,0.0,118710.21,120511.38
138,104663.72,138,-0.823,-0.5681,0.0,111965.8,118710.21
139,108020.9,139,-0.8855,-0.4647,0.0,104663.72,111965.8
140,124381.37,140,-0.935,-0.3546,1.0,108020.9,104663.72
141,102614.34,141,-0.9709,-0.2393,0.0,124381.37,108020.9
142,104750.64,142,-0.9927,-0.1205,0.0,102614.34,124381.37
143,105578.04,143,-1.0,0.0,0.0,104750.64,102614.34
144,102877.26,144,-0.9927,0.1205,0.0,105578.04,104750.64
145,98547.35,145,-0.9709,0.2393,0.0,102877.26,105578.04
146,100362.09,146,-0.935,0.3546,0.0,98547.35,102877.26
147,99150.16,147,-0.8855,0.4647,0.0,100362.09,98547.35
148,98723.08,148,-0.823,0.5681,0.0,99150.16,100362.09
149,93592.11,149,-0.7485,0.6631,0.0,98723.08,99150.16
150,89529.06,150,-0.6631,0.7485,0.0,93592.11,98723.08
151,109733.9,151,-0.5681,0.823,0.0,89529.06,93592.11
152,96139.14,152,-0.4647,0.8855,0.0,109733.9,89529.06
153,105289.26,153,-0.3546,0.935,0.0,96139.14,109733.9
154,90772.26,154,-0.2393,0.9709,0.0,105289.26,96139.14
155,99274.87,155,-0.1205,0.9927,0.0,90772.26,105289.26
