Week,Influencer_Social_Spending,Paid_Search_Spending,Brand_Public_Relations_Out_Of_Home_Spending,Markdown_Promotional_Spending,Total_Sales
66,2401.33,6670.63,6407.91,4180.7,98626.22
67,10494.41,7708.44,7769.32,5212.64,103221.97
68,24342.88,13566.63,8840.4,10757.5,117688.59
69,36202.5,21026.65,5532.1,3985.07,112074.74
70,20809.49,18330.4,19940.41,2688.56,108406.98
71,12760.09,7687.58,7315.25,9043.17,115046.88
72,20008.36,16395.13,10308.59,4419.67,114206.5
73,16370.71,10844.89,21303.3,4376.68,112660.42
74,22703.89,17228.36,8253.31,7062.32,120510.54
75,3880.13,7239.44,16429.65,4472.68,112819.52
76,5416.56,5491.2,10100.35,1744.8,105635.67
77,7378.74,7910.81,7955.08,2983.39,109009.2
78,3405.58,4416.96,5338.83,3954.75,108322.17
79,11120.82,8667.05,7990.23,4600.42,113552.47
80,5717.62,10773.32,7706.01,6047.58,117194.67
81,24331.65,16613.62,4477.28,9244.48,121274.02
82,6324.87,11029.17,4944.33,944.53,106568.32
83,19136.12,12059.98,8883.46,1898.14,107948.18
84,16911.8,15032.69,16339.02,6285.36,115377.94
85,9850.62,7291.49,6828.62,3888.47,110688.15
86,3235.13,6947.73,2485.66,4861.47,106978.77
87,11918.71,13066.07,1190.68,7177.38,110603.42
88,12455.86,7144.34,3526.62,2975.28,124745.81
89,16631.86,10959.48,26658.17,3671.01,103626.34
90,31794.63,19797.22,2865.96,9791.9,116880.17
91,27998.39,21940.45,11627.13,8905.48,118888.31
92,6812.81,6728.14,10334.92,7562.09,105674.3
93,12256.8,12773.1,6687.92,1504.26,94638.43
94,27935.19,33383.84,4503.6,1665.71,99612.06
95,14625.31,14030.16,6111.49,3860.35,98152.39
96,28084.58,17335.35,8757.0,6087.0,104016.75
97,30955.62,20569.67,2934.84,6847.32,103711.48
98,5482.74,6061.16,15433.06,3052.79,85965.53
99,16678.12,13126.32,8710.4,464.7,85242.58
100,40211.57,22936.09,23228.29,3117.36,97197.87
101,29912.31,19974.21,10293.19,11196.71,108279.1
102,9142.74,8212.31,14611.47,4402.91,89643.0
103,6461.93,9635.99,8001.68,6214.86,91291.37
104,10170.93,8650.09,10666.96,8561.3,94472.78
105,13053.84,14588.54,4553.62,8053.59,96164.43
106,10751.82,12646.42,18189.86,6687.71,91482.27
107,23256.73,11527.64,7683.68,2445.06,89701.84
108,15297.67,9555.91,4538.56,1658.62,88349.62
109,5990.23,12404.29,5339.73,1340.52,84399.1
110,11196.44,17934.3,1648.46,2860.84,95092.75
111,14138.73,14889.08,5317.73,7917.99,101407.9
112,9272.58,5053.5,917.06,13113.25,108142.96
113,16043.25,9034.6,11111.21,3244.38,94272.16
114,14066.06,16338.53,9129.39,26561.92,152585.0
115,22435.57,17774.43,3676.73,2991.32,103494.79
116,6036.43,19434.22,6905.36,9012.12,110997.59
117,7735.29,7450.22,7095.43,10192.89,112611.98
118,12127.13,8468.61,7913.88,11635.1,112304.37
119,9731.27,9949.57,6191.64,5686.67,106649.48
120,12919.06,9734.05,7228.83,3522.47,105867.49
121,25745.79,21075.85,6088.14,4966.27,113471.97
122,11051.42,8808.16,4535.55,1693.81,106658.76
123,4807.2,10262.5,3580.4,2289.84,108984.95
124,19420.38,11472.0,5955.91,2160.64,110379.63
125,19136.9,16818.95,4902.55,6070.87,115560.96
126,14396.94,11613.86,9907.28,8515.59,121948.83
127,14386.97,13274.9,15111.16,6702.4,121965.36
128,14397.04,20589.7,29863.33,7743.87,123263.4
129,18190.44,9563.71,7373.95,5373.03,119246.85
130,15512.36,18843.94,4649.58,3622.8,119580.04
131,14020.74,12610.29,11765.08,7592.24,120281.6
132,9193.35,8524.17,10251.18,11608.52,127276.97
133,74919.97,39412.64,14528.87,2913.0,128196.48
134,2528.0,9209.78,8006.76,14956.34,134016.42
135,7871.44,6687.97,17665.76,10037.29,120511.38
136,19477.9,15791.14,8008.23,5974.83,118710.21
137,14615.33,18989.15,11587.23,3523.33,111965.8
138,15750.06,10919.4,5205.24,2529.33,104663.72
139,10967.12,7645.42,9639.5,4328.36,108020.9
140,6951.44,8061.12,4893.99,953.39,124381.37
141,2153.27,6486.38,17598.58,3869.06,102614.34
142,11931.52,15133.73,9185.4,3732.82,104750.64
143,6282.24,7660.75,7277.89,7221.78,105578.04
144,9934.63,11773.37,7646.72,6077.79,102877.26
145,14316.93,9106.31,6048.18,4004.94,98547.35
146,17380.0,9369.72,2038.86,5258.74,100362.09
147,17281.84,9909.13,5207.71,5919.1,99150.16
148,6942.96,5247.58,41008.19,6759.56,98723.08
149,4368.52,6495.48,8133.98,4955.55,93592.11
150,17855.56,9811.33,31787.21,1766.79,89529.06
151,31400.31,19288.11,12918.57,11246.84,109733.9
152,18931.86,22457.15,6944.73,2896.93,96139.14
153,21266.66,19493.63,10346.78,8738.26,105289.26
154,6679.77,7508.36,2218.45,4502.59,90772.26
155,13836.25,25152.0,39183.88,5132.42,99274.87
