Customer_Identifier,Recency_Days,Frequency_Orders,Monetary_Value,Discount_Sensitivity
CUSTOMER_0073,22.0,15,1115.26,0.17
CUSTOMER_0074,1.0,5,731.62,0.48
CUSTOMER_0075,1.0,13,1339.42,0.55
CUSTOMER_0076,7.0,6,412.82,0.44
CUSTOMER_0077,1.0,6,1033.44,0.44
CUSTOMER_0078,3.0,4,258.58,0.2
CUSTOMER_0079,12.0,4,196.23,0.45
CUSTOMER_0080,49.0,5,236.52,0.14
CUSTOMER_0081,25.0,8,1048.64,0.51
CUSTOMER_0082,22.0,2,266.57,0.21
CUSTOMER_0083,10.0,11,921.73,0.08
CUSTOMER_0084,81.0,5,435.99,0.59
CUSTOMER_0085,15.0,2,162.22,0.45
CUSTOMER_0086,3.0,2,275.23,0.37
CUSTOMER_0087,29.0,9,504.32,0.33
CUSTOMER_0088,4.0,5,817.37,0.21
CUSTOMER_0089,13.0,10,734.4,0.41
CUSTOMER_0090,21.0,9,1608.55,0.14
CUSTOMER_0091,62.0,9,605.77,0.1
CUSTOMER_0092,20.0,10,1506.39,0.51
CUSTOMER_0093,36.0,16,1199.1,0.44
CUSTOMER_0094,148.0,4,231.97,0.5
CUSTOMER_0095,4.0,11,1781.76,0.63
CUSTOMER_0096,10.0,9,1452.98,0.13
CUSTOMER_0097,15.0,3,314.0,0.36
CUSTOMER_0098,16.0,1,125.18,0.25
CUSTOMER_0099,16.0,8,977.26,0.4
CUSTOMER_0100,71.0,20,3204.03,0.21
CUSTOMER_0101,38.0,4,371.04,0.48
CUSTOMER_0102,28.0,1,111.67,0.44
CUSTOMER_0103,11.0,6,670.78,0.35
CUSTOMER_0104,52.0,10,926.96,0.04
CUSTOMER_0105,93.0,6,990.15,0.23
CUSTOMER_0106,52.0,3,207.36,0.61
CUSTOMER_0107,1.0,7,467.02,0.4
CUSTOMER_0108,30.0,4,466.54,0.52
CUSTOMER_0109,2.0,6,831.24,0.05
CUSTOMER_0110,9.0,6,390.45,0.04
CUSTOMER_0111,2.0,1,84.05,0.25
CUSTOMER_0112,28.0,8,1380.4,0.36
CUSTOMER_0113,35.0,15,1182.65,0.4
CUSTOMER_0114,4.0,8,1113.35,0.22
CUSTOMER_0115,15.0,2,252.67,0.27
CUSTOMER_0116,18.0,1,95.34,0.08
CUSTOMER_0117,14.0,14,2359.39,0.32
CUSTOMER_0118,4.0,3,433.98,0.12
CUSTOMER_0119,16.0,6,646.35,0.43
CUSTOMER_0120,42.0,2,275.54,0.27
CUSTOMER_0121,2.0,7,971.93,0.43
CUSTOMER_0122,3.0,15,1895.07,0.18
CUSTOMER_0123,13.0,6,993.42,0.3
CUSTOMER_0124,85.0,1,84.48,0.18
CUSTOMER_0125,33.0,2,142.79,0.15
CUSTOMER_0126,34.0,4,300.97,0.22
CUSTOMER_0127,13.0,4,170.56,0.15
CUSTOMER_0128,27.0,8,432.36,0.45
CUSTOMER_0129,1.0,1,159.22,0.27
CUSTOMER_0130,30.0,8,1116.57,0.22
CUSTOMER_0131,73.0,17,2271.32,0.29
CUSTOMER_0132,28.0,1,133.35,0.21
CUSTOMER_0133,62.0,7,1121.7,0.25
CUSTOMER_0134,39.0,12,1317.13,0.4
CUSTOMER_0135,4.0,11,1778.91,0.26
CUSTOMER_0136,70.0,7,662.52,0.24
CUSTOMER_0137,2.0,14,2362.95,0.47
CUSTOMER_0138,23.0,5,672.4,0.11
CUSTOMER_0139,5.0,15,1220.64,0.19
CUSTOMER_0140,1.0,9,1104.91,0.22
CUSTOMER_0141,16.0,8,936.99,0.57
CUSTOMER_0142,10.0,5,351.38,0.29
CUSTOMER_0143,20.0,9,1118.0,0.23
CUSTOMER_0144,26.0,5,463.93,0.08
CUSTOMER_0145,1.0,12,628.32,0.17
CUSTOMER_0146,4.0,11,1883.26,0.39
CUSTOMER_0147,25.0,20,2668.98,0.14
CUSTOMER_0148,13.0,12,1980.42,0.34
CUSTOMER_0149,39.0,8,1087.72,0.54
CUSTOMER_0150,32.0,7,666.89,0.24
CUSTOMER_0151,56.0,20,2276.18,0.19
CUSTOMER_0152,35.0,5,697.71,0.08
CUSTOMER_0153,17.0,9,1523.89,0.29
CUSTOMER_0154,34.0,1,58.85,0.35
CUSTOMER_0155,10.0,3,508.95,0.11
CUSTOMER_0156,11.0,18,3050.52,0.05
CUSTOMER_0157,47.0,15,2036.74,0.3
CUSTOMER_0158,18.0,6,997.39,0.22
CUSTOMER_0159,48.0,3,333.1,0.51
CUSTOMER_0160,52.0,4,718.44,0.09
CUSTOMER_0161,58.0,4,555.49,0.53
CUSTOMER_0162,75.0,2,93.25,0.3
CUSTOMER_0163,17.0,19,3201.72,0.27
CUSTOMER_0164,12.0,4,481.26,0.47
CUSTOMER_0165,26.0,2,233.36,0.5
CUSTOMER_0166,14.0,7,893.75,0.21
CUSTOMER_0167,28.0,1,46.72,0.36
CUSTOMER_0168,37.0,11,1175.32,0.25
CUSTOMER_0169,35.0,4,605.03,0.11
CUSTOMER_0170,14.0,9,432.65,0.33
CUSTOMER_0171,5.0,8,658.26,0.24
CUSTOMER_0172,17.0,6,268.95,0.16
CUSTOMER_0173,5.0,9,926.27,0.17
CUSTOMER_0174,66.0,1,167.97,0.39
CUSTOMER_0175,13.0,1,122.32,0.28
CUSTOMER_0176,5.0,4,678.46,0.21
CUSTOMER_0177,1.0,9,1160.74,0.22
CUSTOMER_0178,31.0,5,387.52,0.09
CUSTOMER_0179,30.0,13,2190.92,0.45
CUSTOMER_0180,12.0,2,319.71,0.26
CUSTOMER_0181,2.0,8,954.59,0.32
CUSTOMER_0182,16.0,10,1383.08,0.31
CUSTOMER_0183,11.0,3,515.92,0.56
CUSTOMER_0184,34.0,2,270.87,0.29
CUSTOMER_0185,28.0,1,110.39,0.17
CUSTOMER_0186,14.0,3,412.4,0.3
CUSTOMER_0187,7.0,17,885.61,0.04
CUSTOMER_0188,133.0,2,191.82,0.21
CUSTOMER_0189,18.0,6,612.55,0.37
CUSTOMER_0190,35.0,9,622.63,0.16
CUSTOMER_0191,5.0,9,420.5,0.55
CUSTOMER_0192,20.0,10,588.99,0.11
CUSTOMER_0193,1.0,4,540.71,0.39
CUSTOMER_0194,21.0,8,1227.92,0.2
CUSTOMER_0195,100.0,5,903.15,0.63
CUSTOMER_0196,15.0,5,454.26,0.29
CUSTOMER_0197,1.0,8,998.72,0.13
CUSTOMER_0198,1.0,4,726.23,0.46
CUSTOMER_0199,15.0,7,443.41,0.34
CUSTOMER_0200,5.0,10,1433.5,0.43
CUSTOMER_0201,1.0,8,1163.88,0.44
CUSTOMER_0202,42.0,6,335.35,0.18
CUSTOMER_0203,18.0,4,638.73,0.68
CUSTOMER_0204,10.0,1,138.7,0.51
CUSTOMER_0205,69.0,10,506.52,0.44
CUSTOMER_0206,4.0,19,1116.44,0.26
CUSTOMER_0207,94.0,5,267.56,0.1
CUSTOMER_0208,11.0,2,182.45,0.05
CUSTOMER_0209,66.0,4,435.29,0.09
CUSTOMER_0210,28.0,6,711.54,0.18
CUSTOMER_0211,53.0,4,367.67,0.22
CUSTOMER_0212,124.0,12,2009.17,0.19
CUSTOMER_0213,10.0,2,181.91,0.49
CUSTOMER_0214,97.0,7,346.82,0.37
CUSTOMER_0215,15.0,12,1016.58,0.56
CUSTOMER_0216,15.0,2,178.49,0.18
CUSTOMER_0217,12.0,2,208.32,0.36
CUSTOMER_0218,23.0,8,638.84,0.56
CUSTOMER_0219,5.0,2,93.25,0.56
CUSTOMER_0220,24.0,3,481.83,0.02
CUSTOMER_0221,23.0,7,1234.72,0.15
CUSTOMER_0222,43.0,20,1782.99,0.06
CUSTOMER_0223,54.0,5,511.92,0.3
CUSTOMER_0224,17.0,8,999.3,0.37
CUSTOMER_0225,11.0,1,111.34,0.2
CUSTOMER_0226,9.0,4,397.08,0.45
CUSTOMER_0227,6.0,5,858.82,0.23
CUSTOMER_0228,2.0,5,571.52,0.14
CUSTOMER_0229,13.0,13,1383.59,0.27
CUSTOMER_0230,9.0,6,805.42,0.06
CUSTOMER_0231,102.0,4,653.33,0.38
CUSTOMER_0232,24.0,3,472.76,0.59
CUSTOMER_0233,13.0,9,471.15,0.47
CUSTOMER_0234,26.0,3,263.35,0.4
CUSTOMER_0235,4.0,7,784.71,0.42
CUSTOMER_0236,18.0,5,460.03,0.24
CUSTOMER_0237,30.0,6,839.21,0.4
CUSTOMER_0238,20.0,12,1869.53,0.19
CUSTOMER_0239,15.0,7,986.66,0.22
CUSTOMER_0240,153.0,7,1249.17,0.37
CUSTOMER_0241,64.0,4,338.57,0.23
CUSTOMER_0242,29.0,12,1951.0,0.28
CUSTOMER_0243,25.0,5,698.52,0.19
CUSTOMER_0244,29.0,6,588.74,0.47
CUSTOMER_0245,7.0,16,2309.51,0.31
CUSTOMER_0246,15.0,6,346.71,0.48
CUSTOMER_0247,1.0,9,1381.18,0.11
CUSTOMER_0248,19.0,3,381.09,0.18
CUSTOMER_0249,23.0,16,1295.31,0.3
CUSTOMER_0250,8.0,15,2011.63,0.41
CUSTOMER_0251,100.0,8,1024.42,0.24
CUSTOMER_0252,72.0,3,229.82,0.6
CUSTOMER_0253,38.0,7,346.28,0.12
CUSTOMER_0254,23.0,6,633.95,0.3
CUSTOMER_0255,61.0,1,111.9,0.54
CUSTOMER_0256,4.0,4,615.9,0.61
CUSTOMER_0257,47.0,2,331.61,0.23
CUSTOMER_0258,4.0,5,590.08,0.08
CUSTOMER_0259,47.0,13,1928.23,0.27
CUSTOMER_0260,10.0,10,1019.62,0.1
CUSTOMER_0261,63.0,8,1186.31,0.26
CUSTOMER_0262,86.0,16,1149.41,0.29
CUSTOMER_0263,5.0,3,292.53,0.16
CUSTOMER_0264,19.0,8,1034.77,0.34
CUSTOMER_0265,119.0,5,240.9,0.36
CUSTOMER_0266,20.0,16,2298.35,0.33
CUSTOMER_0267,60.0,3,448.85,0.36
CUSTOMER_0268,27.0,4,381.94,0.26
CUSTOMER_0269,14.0,6,636.53,0.25
CUSTOMER_0270,10.0,7,1167.49,0.23
CUSTOMER_0271,7.0,9,1330.16,0.28
CUSTOMER_0272,43.0,10,879.8,0.13
CUSTOMER_0273,15.0,13,1193.67,0.38
CUSTOMER_0274,21.0,1,134.7,0.3
CUSTOMER_0275,20.0,3,357.13,0.19
CUSTOMER_0276,26.0,1,53.06,0.14
CUSTOMER_0277,60.0,17,1474.93,0.07
CUSTOMER_0278,118.0,12,1969.84,0.25
CUSTOMER_0279,16.0,11,1515.41,0.22
CUSTOMER_0280,53.0,5,920.47,0.54
CUSTOMER_0281,43.0,7,1027.61,0.14
CUSTOMER_0282,26.0,16,2749.85,0.18
CUSTOMER_0283,94.0,6,411.09,0.06
CUSTOMER_0284,7.0,2,305.78,0.33
CUSTOMER_0285,3.0,1,53.02,0.19
CUSTOMER_0286,58.0,14,1899.01,0.34
CUSTOMER_0287,17.0,20,2162.73,0.25
CUSTOMER_0288,56.0,8,728.65,0.39
CUSTOMER_0289,67.0,5,817.16,0.44
CUSTOMER_0290,2.0,3,480.4,0.17
CUSTOMER_0291,64.0,6,294.36,0.29
CUSTOMER_0292,18.0,9,1149.85,0.16
CUSTOMER_0293,21.0,12,1158.36,0.57
CUSTOMER_0294,30.0,5,519.11,0.33
CUSTOMER_0295,78.0,1,161.18,0.16
CUSTOMER_0296,1.0,9,811.82,0.26
CUSTOMER_0297,19.0,7,1214.59,0.2
CUSTOMER_0298,35.0,5,372.35,0.53
CUSTOMER_0299,38.0,7,953.41,0.09
CUSTOMER_0300,35.0,2,234.63,0.32
CUSTOMER_0301,4.0,3,263.24,0.37
CUSTOMER_0302,11.0,4,358.07,0.46
CUSTOMER_0303,13.0,3,472.05,0.06
CUSTOMER_0304,49.0,3,449.16,0.44
CUSTOMER_0305,10.0,5,440.24,0.26
CUSTOMER_0306,7.0,6,707.05,0.09
CUSTOMER_0307,95.0,9,468.1,0.18
CUSTOMER_0308,1.0,7,537.75,0.29
CUSTOMER_0309,180.0,12,1324.76,0.36
CUSTOMER_0310,34.0,6,331.99,0.28
CUSTOMER_0311,53.0,3,458.05,0.38
CUSTOMER_0312,10.0,8,1140.82,0.32
CUSTOMER_0313,1.0,3,520.91,0.55
CUSTOMER_0314,40.0,5,700.86,0.27
CUSTOMER_0315,54.0,4,667.27,0.52
CUSTOMER_0316,40.0,2,207.69,0.14
CUSTOMER_0317,5.0,7,894.72,0.19
CUSTOMER_0318,42.0,11,1975.49,0.19
CUSTOMER_0319,44.0,5,637.91,0.51
CUSTOMER_0320,32.0,16,818.29,0.1
CUSTOMER_0321,44.0,9,1290.1,0.26
CUSTOMER_0322,56.0,1,167.1,0.01
CUSTOMER_0323,29.0,10,1516.08,0.26
CUSTOMER_0324,3.0,9,1086.67,0.17
CUSTOMER_0325,20.0,4,562.26,0.04
CUSTOMER_0326,2.0,8,1413.9,0.36
CUSTOMER_0327,16.0,15,842.99,0.41
CUSTOMER_0328,16.0,7,965.38,0.32
CUSTOMER_0329,2.0,5,378.63,0.09
CUSTOMER_0330,13.0,6,758.0,0.39
CUSTOMER_0331,4.0,7,888.84,0.33
CUSTOMER_0332,50.0,9,597.32,0.19
CUSTOMER_0333,89.0,9,665.89,0.48
CUSTOMER_0334,2.0,2,251.8,0.19
CUSTOMER_0335,93.0,8,549.1,0.2
CUSTOMER_0336,22.0,6,480.24,0.32
CUSTOMER_0337,11.0,5,784.18,0.35
CUSTOMER_0338,2.0,16,1410.58,0.28
CUSTOMER_0339,21.0,12,1333.14,0.46
CUSTOMER_0340,47.0,5,872.57,0.06
CUSTOMER_0341,37.0,4,326.73,0.67
CUSTOMER_0342,2.0,5,458.21,0.68
CUSTOMER_0343,2.0,5,629.44,0.36
CUSTOMER_0344,15.0,9,1331.67,0.33
CUSTOMER_0345,10.0,9,1512.25,0.21
CUSTOMER_0346,8.0,5,843.08,0.12
CUSTOMER_0347,10.0,9,1359.47,0.44
CUSTOMER_0348,49.0,9,666.24,0.15
CUSTOMER_0349,79.0,8,417.95,0.14
CUSTOMER_0350,16.0,3,310.28,0.66
CUSTOMER_0351,71.0,6,357.76,0.1
CUSTOMER_0352,12.0,11,1528.42,0.15
CUSTOMER_0353,19.0,6,784.58,0.31
CUSTOMER_0354,8.0,7,370.11,0.23
CUSTOMER_0355,31.0,12,1869.59,0.44
CUSTOMER_0356,116.0,15,1172.08,0.21
CUSTOMER_0357,28.0,7,732.55,0.18
CUSTOMER_0358,13.0,3,404.19,0.04
CUSTOMER_0359,31.0,7,725.98,0.39
CUSTOMER_0360,4.0,2,187.83,0.57
CUSTOMER_0361,66.0,8,442.78,0.36
CUSTOMER_0362,21.0,8,781.29,0.45
CUSTOMER_0363,18.0,9,1327.8,0.04
CUSTOMER_0364,26.0,3,510.4,0.3
CUSTOMER_0365,29.0,1,102.88,0.17
CUSTOMER_0366,2.0,4,409.22,0.54
CUSTOMER_0367,34.0,10,1383.53,0.81
CUSTOMER_0368,8.0,3,510.83,0.1
CUSTOMER_0369,38.0,5,405.31,0.28
CUSTOMER_0370,52.0,6,599.02,0.51
CUSTOMER_0371,49.0,7,1057.94,0.03
CUSTOMER_0372,24.0,9,1153.53,0.12
CUSTOMER_0373,22.0,6,334.03,0.55
CUSTOMER_0374,5.0,4,542.11,0.57
CUSTOMER_0375,45.0,6,446.66,0.08
CUSTOMER_0376,9.0,11,1227.77,0.34
CUSTOMER_0377,21.0,15,1773.59,0.23
CUSTOMER_0378,10.0,1,160.42,0.16
CUSTOMER_0379,4.0,4,438.12,0.43
CUSTOMER_0380,30.0,9,734.59,0.11
CUSTOMER_0381,2.0,2,170.82,0.1
CUSTOMER_0382,41.0,1,171.15,0.26
CUSTOMER_0383,11.0,7,460.32,0.33
CUSTOMER_0384,1.0,7,694.14,0.52
CUSTOMER_0385,21.0,3,181.6,0.15
CUSTOMER_0386,1.0,6,900.14,0.16
CUSTOMER_0387,10.0,10,1101.85,0.21
CUSTOMER_0388,37.0,2,197.83,0.2
CUSTOMER_0389,2.0,13,1216.37,0.38
CUSTOMER_0390,55.0,2,296.96,0.31
CUSTOMER_0391,1.0,6,704.92,0.08
CUSTOMER_0392,9.0,4,590.7,0.31
CUSTOMER_0393,41.0,4,654.71,0.1
CUSTOMER_0394,11.0,9,1503.48,0.43
CUSTOMER_0395,3.0,8,693.28,0.04
CUSTOMER_0396,13.0,3,527.47,0.53
CUSTOMER_0397,9.0,4,184.28,0.1
CUSTOMER_0398,55.0,2,212.68,0.34
CUSTOMER_0399,11.0,13,2172.6,0.39
CUSTOMER_0400,47.0,16,1303.3,0.11
CUSTOMER_0401,67.0,5,406.8,0.4
CUSTOMER_0402,17.0,8,675.81,0.39
CUSTOMER_0403,72.0,1,99.27,0.14
CUSTOMER_0404,14.0,8,816.25,0.49
CUSTOMER_0405,100.0,9,1291.95,0.24
CUSTOMER_0406,3.0,7,1167.2,0.07
CUSTOMER_0407,35.0,12,1635.17,0.18
CUSTOMER_0408,20.0,3,211.77,0.22
CUSTOMER_0409,15.0,3,531.4,0.13
CUSTOMER_0410,30.0,1,81.98,0.08
CUSTOMER_0411,37.0,1,79.3,0.19
CUSTOMER_0412,1.0,4,193.11,0.36
CUSTOMER_0413,5.0,6,647.89,0.37
CUSTOMER_0414,37.0,6,367.82,0.13
CUSTOMER_0415,33.0,5,290.18,0.1
CUSTOMER_0416,101.0,11,936.3,0.2
CUSTOMER_0417,43.0,7,575.12,0.27
CUSTOMER_0418,90.0,20,2563.19,0.08
CUSTOMER_0419,36.0,3,473.78,0.21
CUSTOMER_0420,11.0,3,446.66,0.24
CUSTOMER_0421,3.0,6,499.35,0.29
CUSTOMER_0422,46.0,7,554.19,0.24
CUSTOMER_0423,31.0,6,1043.14,0.6
CUSTOMER_0424,1.0,6,298.1,0.42
CUSTOMER_0425,13.0,4,632.85,0.73
CUSTOMER_0426,94.0,10,726.1,0.1
CUSTOMER_0427,21.0,19,3253.83,0.07
CUSTOMER_0428,17.0,1,95.29,0.27
CUSTOMER_0429,18.0,20,2092.81,0.12
CUSTOMER_0430,7.0,8,1157.22,0.33
CUSTOMER_0431,14.0,4,466.04,0.18
CUSTOMER_0432,14.0,6,515.51,0.08
CUSTOMER_0433,2.0,1,136.22,0.36
CUSTOMER_0434,44.0,1,150.35,0.62
CUSTOMER_0435,16.0,14,713.62,0.24
CUSTOMER_0436,52.0,1,27.39,0.23
CUSTOMER_0437,57.0,2,201.86,0.33
CUSTOMER_0438,7.0,2,150.5,0.34
CUSTOMER_0439,32.0,12,1615.21,0.55
CUSTOMER_0440,19.0,6,450.89,0.24
CUSTOMER_0441,64.0,2,204.57,0.62
CUSTOMER_0442,7.0,7,478.14,0.43
CUSTOMER_0443,34.0,13,1566.26,0.1
CUSTOMER_0444,28.0,1,70.73,0.16
CUSTOMER_0445,10.0,1,94.23,0.17
CUSTOMER_0446,4.0,9,446.81,0.71
CUSTOMER_0447,32.0,8,1407.05,0.18
CUSTOMER_0448,40.0,6,359.02,0.47
CUSTOMER_0449,11.0,7,987.66,0.1
CUSTOMER_0450,31.0,5,290.38,0.29
CUSTOMER_0451,15.0,1,20.0,0.2
CUSTOMER_0452,37.0,6,678.09,0.58
CUSTOMER_0453,7.0,15,1605.1,0.1
CUSTOMER_0454,66.0,5,853.28,0.11
CUSTOMER_0455,10.0,1,180.26,0.11
CUSTOMER_0456,14.0,3,473.16,0.15
CUSTOMER_0457,2.0,4,502.47,0.21
CUSTOMER_0458,4.0,2,216.95,0.32
CUSTOMER_0459,22.0,4,374.62,0.38
CUSTOMER_0460,9.0,5,864.32,0.15
CUSTOMER_0461,54.0,8,989.35,0.25
CUSTOMER_0462,1.0,12,1500.27,0.58
CUSTOMER_0463,14.0,10,768.97,0.56
CUSTOMER_0464,12.0,1,59.2,0.07
CUSTOMER_0465,1.0,4,674.27,0.09
CUSTOMER_0466,4.0,1,78.17,0.12
CUSTOMER_0467,16.0,1,101.23,0.32
CUSTOMER_0468,20.0,10,574.08,0.23
CUSTOMER_0469,16.0,2,282.21,0.13
CUSTOMER_0470,23.0,10,475.29,0.29
CUSTOMER_0471,27.0,7,1113.57,0.57
CUSTOMER_0472,1.0,7,434.51,0.07
CUSTOMER_0473,19.0,8,1297.11,0.26
CUSTOMER_0474,99.0,8,1131.86,0.18
CUSTOMER_0475,22.0,4,259.82,0.45
CUSTOMER_0476,34.0,4,478.46,0.08
CUSTOMER_0477,11.0,13,1177.02,0.2
CUSTOMER_0478,45.0,4,297.34,0.47
CUSTOMER_0479,44.0,16,2596.33,0.19
CUSTOMER_0480,22.0,5,520.75,0.29
CUSTOMER_0481,112.0,2,177.63,0.07
CUSTOMER_0482,4.0,7,451.1,0.24
CUSTOMER_0483,1.0,9,848.29,0.3
CUSTOMER_0484,44.0,5,840.03,0.38
CUSTOMER_0485,49.0,8,741.24,0.1
CUSTOMER_0486,4.0,1,148.44,0.25
CUSTOMER_0487,9.0,2,336.88,0.32
CUSTOMER_0488,1.0,6,382.6,0.25
CUSTOMER_0489,10.0,7,487.93,0.19
CUSTOMER_0490,45.0,17,2749.86,0.11
CUSTOMER_0491,22.0,1,81.46,0.28
CUSTOMER_0492,13.0,7,332.85,0.32
CUSTOMER_0493,14.0,6,479.05,0.41
CUSTOMER_0494,1.0,12,1505.03,0.13
CUSTOMER_0495,11.0,1,166.64,0.41
CUSTOMER_0496,31.0,15,932.28,0.07
CUSTOMER_0497,110.0,3,168.38,0.11
CUSTOMER_0498,56.0,1,181.32,0.42
CUSTOMER_0499,1.0,1,129.25,0.24
CUSTOMER_0500,69.0,14,1736.99,0.37
CUSTOMER_0501,46.0,7,1053.0,0.54
CUSTOMER_0502,45.0,1,143.98,0.41
CUSTOMER_0503,18.0,9,1338.63,0.14
CUSTOMER_0504,15.0,3,295.03,0.26
CUSTOMER_0505,11.0,13,1024.0,0.72
CUSTOMER_0506,2.0,6,839.04,0.12
CUSTOMER_0507,8.0,12,1222.18,0.46
CUSTOMER_0508,8.0,6,1064.32,0.26
CUSTOMER_0509,20.0,1,98.61,0.67
CUSTOMER_0510,41.0,7,1188.36,0.26
CUSTOMER_0511,19.0,4,691.39,0.24
CUSTOMER_0512,2.0,3,226.72,0.31
CUSTOMER_0513,95.0,6,917.73,0.49
CUSTOMER_0514,86.0,12,1217.02,0.25
CUSTOMER_0515,46.0,3,500.2,0.21
CUSTOMER_0516,142.0,2,239.35,0.5
CUSTOMER_0517,24.0,5,733.78,0.22
CUSTOMER_0518,99.0,11,1188.03,0.36
CUSTOMER_0519,2.0,4,340.93,0.13
CUSTOMER_0520,14.0,10,691.91,0.16
CUSTOMER_0521,8.0,8,797.28,0.38
CUSTOMER_0522,7.0,11,1651.16,0.14
CUSTOMER_0523,5.0,4,507.66,0.1
CUSTOMER_0524,29.0,9,1236.83,0.31
CUSTOMER_0525,46.0,7,557.81,0.7
CUSTOMER_0526,26.0,4,448.93,0.17
CUSTOMER_0527,5.0,8,418.84,0.33
CUSTOMER_0528,50.0,9,1376.41,0.38
CUSTOMER_0529,30.0,5,890.37,0.16
CUSTOMER_0530,15.0,6,592.86,0.12
CUSTOMER_0531,34.0,8,376.96,0.16
CUSTOMER_0532,9.0,6,385.15,0.21
CUSTOMER_0533,13.0,1,158.13,0.39
CUSTOMER_0534,75.0,4,528.84,0.12
CUSTOMER_0535,10.0,2,295.46,0.54
CUSTOMER_0536,19.0,6,471.32,0.23
CUSTOMER_0537,66.0,7,1033.9,0.25
CUSTOMER_0538,37.0,2,260.19,0.26
CUSTOMER_0539,2.0,4,345.45,0.27
CUSTOMER_0540,5.0,9,1062.36,0.37
CUSTOMER_0541,1.0,3,226.9,0.27
CUSTOMER_0542,30.0,1,125.03,0.47
CUSTOMER_0543,18.0,20,3297.93,0.32
CUSTOMER_0544,4.0,6,618.56,0.22
CUSTOMER_0545,95.0,4,611.02,0.28
CUSTOMER_0546,23.0,3,373.22,0.18
CUSTOMER_0547,8.0,10,728.44,0.29
CUSTOMER_0548,21.0,6,715.53,0.12
CUSTOMER_0549,34.0,7,805.89,0.3
CUSTOMER_0550,2.0,1,145.27,0.19
